Unix Timestamp (UTC),Degrees (°C)
1579048015062,23.429000
1579048016062,23.429000
1579048017062,23.458000
1579048018063,23.429000
1579048019063,23.429000
1579048020063,23.429000
1579048021063,23.429000
1579048022063,23.429000
1579048023063,23.429000
1579048024063,23.429000
1579048025063,23.429000
1579048026063,23.458000
1579048027063,23.429000
1579048028063,23.458000
1579048029063,23.458000
1579048030063,23.429000
1579048031064,23.400000
1579048032064,23.458000
1579048033064,23.429000
1579048034064,23.429000
1579048035064,23.458000
1579048036064,23.458000
1579048037064,23.429000
1579048038064,23.429000
1579048039064,23.429000
1579048040064,23.429000
1579048041064,23.458000
1579048042064,23.458000
1579048043064,23.429000
1579048044065,23.429000
1579048045065,23.429000
1579048046065,23.429000
1579048047065,23.429000
1579048048065,23.458000
1579048049065,23.429000
1579048050065,23.429000
1579048051065,23.458000
1579048052065,23.429000
1579048053065,23.458000
1579048054065,23.429000
1579048055065,23.429000
1579048056065,23.429000
1579048057066,23.429000
1579048058066,23.429000
1579048059066,23.458000
1579048060066,23.429000
1579048061066,23.429000
1579048062066,23.458000
1579048063066,23.429000
1579048064066,23.429000
1579048065066,23.429000
1579048066066,23.429000
1579048067066,23.458000
1579048068066,23.429000
1579048069066,23.429000
1579048070067,23.429000
1579048071066,23.429000
1579048072066,23.458000
1579048073066,23.429000
1579048074066,23.429000
1579048075066,23.429000
1579048076066,23.429000
1579048077065,23.458000
1579048078065,23.429000
1579048079065,23.429000
1579048080065,23.458000
1579048081065,23.429000
1579048082065,23.429000
1579048083065,23.429000
1579048084064,23.429000
1579048085064,23.429000
1579048086064,23.429000
1579048087064,23.458000
1579048088064,23.429000
1579048089064,23.458000
1579048090063,23.429000
1579048091063,23.429000
1579048092063,23.429000
1579048093063,23.458000
1579048094063,23.429000
1579048095063,23.429000
1579048096063,23.429000
1579048097062,23.429000
1579048098062,23.429000
1579048099062,23.429000
1579048100062,23.429000
1579048101062,23.429000
1579048102062,23.400000
1579048103061,23.458000
1579048104061,23.429000
1579048105061,23.429000
1579048106061,23.429000
1579048107061,23.429000
1579048108061,23.429000
1579048109061,23.429000
1579048110060,23.429000
1579048111060,23.429000
1579048112060,23.429000
1579048113060,23.429000
1579048114060,23.429000
1579048115060,23.429000
1579048116060,23.429000
1579048117059,23.429000
1579048118059,23.429000
1579048119059,23.429000
1579048120059,23.429000
1579048121059,23.429000
1579048122059,23.429000
1579048123058,23.429000
1579048124058,23.429000
1579048125058,23.429000
1579048126058,23.429000
1579048127058,23.429000
1579048128058,23.429000
1579048129058,23.429000
1579048130057,23.458000
1579048131057,23.429000
1579048132057,23.429000
1579048133057,23.458000
1579048134057,23.429000
1579048135057,23.429000
1579048136056,23.429000
1579048137056,23.429000
1579048138056,23.458000
1579048139056,23.429000
1579048140056,23.429000
1579048141056,23.429000
1579048142056,23.429000
1579048143055,23.429000
1579048144055,23.429000
1579048145055,23.429000
1579048146055,23.429000
1579048147055,23.429000
1579048148055,23.458000
1579048149054,23.429000
1579048150054,23.429000
1579048151054,23.429000
1579048152054,23.429000
1579048153054,23.429000
1579048154054,23.429000
1579048155054,23.458000
1579048156053,23.429000
1579048157053,23.429000
1579048158053,23.458000
1579048159053,23.429000
1579048160053,23.429000
1579048161053,23.429000
1579048162053,23.429000
1579048163052,23.429000
1579048164052,23.429000
1579048165052,23.429000
1579048166052,23.429000
1579048167052,23.429000
1579048168052,23.429000
1579048169051,23.458000
1579048170051,23.429000
1579048171051,23.429000
1579048172051,23.429000
1579048173051,23.429000
1579048174051,23.400000
1579048175051,23.429000
1579048176050,23.429000
1579048177050,23.429000
1579048178050,23.458000
1579048179050,23.429000
1579048180050,23.429000
1579048181050,23.429000
1579048182049,23.429000
1579048183049,23.429000
1579048184049,23.429000
1579048185049,23.429000
1579048186049,23.429000
1579048187049,23.429000
1579048188049,23.429000
1579048189048,23.429000
1579048190048,23.458000
1579048191048,23.429000
1579048192048,23.429000
1579048193048,23.458000
1579048194048,23.400000
1579048195048,23.429000
1579048196048,23.429000
1579048197048,23.429000
1579048198048,23.429000
1579048199048,23.429000
1579048200048,23.429000
1579048201048,23.458000
